Counter({1: 283, 0: 188, 2: 67})
 34/300 trn-loss-MF: 0.1242  trn-loss-MF: 0.1242 trn-loss-MF: 0.1242 trn-auc: 0.9890  acc: 0.9814 val-auc: 0.8257  acc: 0.7667
 35/300 trn-loss-MF: 0.1281  trn-loss-MF: 0.1281 trn-loss-MF: 0.1281 trn-auc: 0.9949  acc: 0.9926 val-auc: 0.8636  acc: 0.8333
 36/300 trn-loss-MF: 0.1125  trn-loss-MF: 0.1125 trn-loss-MF: 0.1125 trn-auc: 0.9972  acc: 0.9944 val-auc: 0.8636  acc: 0.8333
 37/300 trn-loss-MF: 0.1063  trn-loss-MF: 0.1063 trn-loss-MF: 0.1063 trn-auc: 1.0000  acc: 1.0000 val-auc: 0.8552  acc: 0.8167
 38/300 trn-loss-MF: 0.1004  trn-loss-MF: 0.1004 trn-loss-MF: 0.1004 trn-auc: 1.0000  acc: 1.0000 val-auc: 0.8731  acc: 0.8500
 39/300 trn-loss-MF: 0.0935  trn-loss-MF: 0.0935 trn-loss-MF: 0.0935 trn-auc: 0.9979  acc: 0.9963 val-auc: 0.8541  acc: 0.8167
 40/300 trn-loss-MF: 0.0925  trn-loss-MF: 0.0925 trn-loss-MF: 0.0925 trn-auc: 0.9985  acc: 0.9981 val-auc: 0.8552  acc: 0.8167
 41/300 trn-loss-MF: 0.0999  trn-loss-MF: 0.0999 trn-loss-MF: 0.0999 trn-auc: 0.9446  acc: 0.9033 val-auc: 0.8530  acc: 0.8167
 42/300 trn-loss-MF: 0.1846  trn-loss-MF: 0.1846 trn-loss-MF: 0.1846 trn-auc: 0.9264  acc: 0.9089 val-auc: 0.8525  acc: 0.8333
 43/300 trn-loss-MF: 0.2484  trn-loss-MF: 0.2484 trn-loss-MF: 0.2484 trn-auc: 0.8892  acc: 0.8067 val-auc: 0.7806  acc: 0.6833
 44/300 trn-loss-MF: 0.3046  trn-loss-MF: 0.3046 trn-loss-MF: 0.3046 trn-auc: 0.8840  acc: 0.8271 val-auc: 0.8007  acc: 0.8000
 45/300 trn-loss-MF: 0.3314  trn-loss-MF: 0.3314 trn-loss-MF: 0.3314 trn-auc: 0.8840  acc: 0.7862 val-auc: 0.7873  acc: 0.6833
 46/300 trn-loss-MF: 0.3502  trn-loss-MF: 0.3502 trn-loss-MF: 0.3502 trn-auc: 0.9108  acc: 0.8513 val-auc: 0.8324  acc: 0.7667
 47/300 trn-loss-MF: 0.3469  trn-loss-MF: 0.3469 trn-loss-MF: 0.3469 trn-auc: 0.9177  acc: 0.8848 val-auc: 0.8028  acc: 0.7833
 48/300 trn-loss-MF: 0.3331  trn-loss-MF: 0.3331 trn-loss-MF: 0.3331 trn-auc: 0.9539  acc: 0.9387 val-auc: 0.8386  acc: 0.8667
 49/300 trn-loss-MF: 0.3037  trn-loss-MF: 0.3037 trn-loss-MF: 0.3037 trn-auc: 0.9309  acc: 0.8792 val-auc: 0.8887  acc: 0.8833
 50/300 trn-loss-MF: 0.2719  trn-loss-MF: 0.2719 trn-loss-MF: 0.2719 trn-auc: 0.9293  acc: 0.8755 val-auc: 0.8446  acc: 0.8000
 51/300 trn-loss-MF: 0.2642  trn-loss-MF: 0.2642 trn-loss-MF: 0.2642 trn-auc: 0.9402  acc: 0.8996 val-auc: 0.8636  acc: 0.8333
 52/300 trn-loss-MF: 0.2455  trn-loss-MF: 0.2455 trn-loss-MF: 0.2455 trn-auc: 0.9494  acc: 0.9201 val-auc: 0.8720  acc: 0.8500
 53/300 trn-loss-MF: 0.2400  trn-loss-MF: 0.2400 trn-loss-MF: 0.2400 trn-auc: 0.9537  acc: 0.9219 val-auc: 0.8708  acc: 0.8500
